('Total Revenue', '391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         735760 function calls (715802 primitive calls) in 7.297 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      407    0.001    0.000    0.001    0.000 socket.py:83(<lambda>)
      406    0.001    0.000    0.001    0.000 socket.py:78(<lambda>)
      269    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
      191    0.001    0.000    0.154    0.001 sre_compile.py:622(_code)
      158    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      632    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1036    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      264    0.001    0.000    0.001    0.000 enum.py:12(_is_descriptor)
     1036    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      207    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.001    0.001    0.006    0.006 packages.py:1(<module>)
      739    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
  211/177    0.001    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
      174    0.001    0.000    0.002    0.000 sre_parse.py:85(opengroup)
      952    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
      406    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
    158/4    0.001    0.000    0.677    0.169 <frozen importlib._bootstrap_external>:877(exec_module)
      593    0.001    0.000    0.002    0.000 enum.py:678(__new__)
      479    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       18    0.001    0.000    1.621    0.090 __init__.py:1(<module>)
        1    0.001    0.001    0.001    0.001 cookies.py:23(MockRequest)
      382    0.001    0.000    0.001    0.000 sre_compile.py:619(isstring)
      120    0.001    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
      331    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      207    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      191    0.001    0.000    0.001    0.000 sre_parse.py:225(__init__)
       51    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
      666    0.001    0.000    0.001    0.000 ssl.py:1138(_checkClosed)
      208    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
      273    0.001    0.000    0.001    0.000 css_parser.py:334(match)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
    159/1    0.001    0.000    7.297    7.297 {built-in method builtins.exec}
       49    0.001    0.000    0.003    0.000 typing.py:1016(__init__)
      321    0.001    0.000    0.001    0.000 enum.py:22(_is_dunder)
      321    0.000    0.000    0.001    0.000 enum.py:33(_is_sunder)
      292    0.000    0.000    0.001    0.000 types.py:176(__get__)
      167    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      308    0.000    0.000    0.001    0.000 css_parser.py:238(css_unescape)
       17    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      167    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      304    0.000    0.000    0.406    0.001 re.py:249(compile)
      238    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      325    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:391(cached)
      158    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       84    0.000    0.000    0.002    0.000 css_parser.py:798(parse_combinator)
    237/4    0.000    0.000    0.676    0.169 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      496    0.000    0.000    0.001    0.000 {built-in method from_bytes}
       73    0.000    0.000    0.001    0.000 sre_parse.py:268(getuntil)
  136/131    0.000    0.000    0.008    0.000 css_parser.py:385(freeze)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      120    0.000    0.000    0.004    0.000 _htmlparser.py:241(handle_comment)
      313    0.000    0.000    0.001    0.000 typing.py:705(__eq__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      523    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      477    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
      188    0.000    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      221    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        3    0.000    0.000    0.001    0.000 cookiejar.py:467(parse_ns_headers)
      191    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       99    0.000    0.000    0.002    0.000 enum.py:980(__or__)
       10    0.000    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
      189    0.000    0.000    0.003    0.000 css_types.py:360(__init__)
      497    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
